date_time,minute,open,high,low,close,volume
2014.10.05,00:00,1.25106,1.25134,1.25080,1.25117,1725
2014.10.06,00:00,1.25116,1.26737,1.25111,1.26423,55512
2014.10.07,00:00,1.26423,1.26822,1.25827,1.26638,73318
2014.10.08,00:00,1.26637,1.27539,1.26216,1.27398,74799
2014.10.09,00:00,1.27397,1.27905,1.26632,1.26872,78209
2014.10.10,00:00,1.26872,1.27150,1.26045,1.26245,62963
2014.10.12,00:00,1.26272,1.26463,1.26180,1.26387,4129
2014.10.13,00:00,1.26387,1.27662,1.26328,1.27207,63522
2014.10.14,00:00,1.27209,1.27305,1.26307,1.26405,68936
2014.10.15,00:00,1.26407,1.28851,1.26237,1.28193,94422
2014.10.16,00:00,1.28193,1.28440,1.27045,1.28033,90614
2014.10.17,00:00,1.28034,1.28358,1.27427,1.27558,56432
2014.10.19,00:00,1.27506,1.27586,1.27354,1.27463,3522
2014.10.20,00:00,1.27464,1.28159,1.27304,1.27933,53665
2014.10.21,00:00,1.27932,1.28393,1.27053,1.27126,68493
2014.10.22,00:00,1.27126,1.27387,1.26362,1.26404,65514
2014.10.23,00:00,1.26405,1.26759,1.26131,1.26484,63446
2014.10.24,00:00,1.26482,1.26949,1.26339,1.26678,55931
2014.10.26,00:00,1.26737,1.26847,1.26707,1.26748,3089
2014.10.27,00:00,1.26749,1.27224,1.26649,1.27015,57053
2014.10.28,00:00,1.27014,1.27639,1.26837,1.27361,62132
2014.10.29,00:00,1.27361,1.27696,1.26244,1.26306,65223
2014.10.30,00:00,1.26309,1.26319,1.25458,1.26080,78715
2014.10.31,00:00,1.26080,1.26081,1.24852,1.25213,85777
2014.11.02,00:00,1.25060,1.25123,1.25009,1.25010,2822
2014.11.03,00:00,1.25011,1.25103,1.24366,1.24912,80808
2014.11.04,00:00,1.24911,1.25764,1.24890,1.25507,77461
2014.11.05,00:00,1.25506,1.25662,1.24563,1.24765,90095
2014.11.06,00:00,1.24765,1.25324,1.23633,1.23792,97373
2014.11.07,00:00,1.23791,1.24686,1.23566,1.24511,86008
2014.11.09,00:00,1.24670,1.24782,1.24582,1.24591,3553
2014.11.10,00:00,1.24590,1.25085,1.24177,1.24247,64873
2014.11.11,00:00,1.24247,1.24983,1.23934,1.24747,71319
2014.11.12,00:00,1.24746,1.24969,1.24183,1.24288,84613
2014.11.13,00:00,1.24288,1.24908,1.24267,1.24724,67627
2014.11.14,00:00,1.24726,1.25454,1.23977,1.25220,77355
2014.11.16,00:00,1.25294,1.25300,1.25122,1.25203,3358
2014.11.17,00:00,1.25202,1.25766,1.24422,1.24491,70712
